"V1","V2","V3","V4","V5"
"1",437207.800276563,439290,348321,-2082.19972343714,-0.00473992060697293
"2",14384.6779450447,14878,14104,-493.322054955279,-0.0331578206046027
"3",559846.292313899,565638,485875,-5791.70768610074,-0.0102392478689564
"4",11934.8653899964,12340,9959,-405.13461000357,-0.0328310056728987
"5",4172.32584520469,3947,4414,225.325845204695,0.0570878756535837
"6",4475.48166873038,4437,5041,38.4816687303819,0.00867290257615098
"7",298920.217300405,292283,267749,6637.21730040468,0.0227081879562091
"8",54022.9101376583,55854,38537,-1831.08986234172,-0.0327835045357847
"9",16523.6043137476,15956,14949,567.604313747575,0.0355730956221845
"10",1861.13842729524,1919,2186,-57.8615727047588,-0.0301519399191031
"11",7979.98499516716,9104,9319,-1124.01500483284,-0.123463862569512
"12",7919.36709109377,8087,8355,-167.632908906228,-0.0207286891191082
"13",3403.37463840444,3360,3674,43.374638404443,0.0129091185727509
"14",3291.34494244906,3099,3540,192.344942449063,0.0620667771697526
"15",3786.27591079857,4018,3504,-231.724089201434,-0.057671500547893
"16",30685.0790703028,31034,26993,-348.920929697244,-0.0112431826286410
"17",616424.814616729,605336,544019,11088.8146167290,0.0183184456512235
"18",2047.24945106988,1953,1849,94.2494510698775,0.048258807511458
"19",292771.840066171,290244,179856,2527.84006617119,0.0087093620063505
"20",54329.3936296683,54368,42936,-38.6063703316831,-0.000710093627348498
"21",22753.7825972114,23591,20069,-837.217402788632,-0.0354888475600285
"22",597635.290281622,588670,504406,8965.2902816215,0.0152297387018559
"23",37522.1851652156,39082,37227,-1559.81483478440,-0.0399113360315336
"24",56806.1368776314,56795,43391,11.1368776314266,0.000196089050645772
"25",5055.64785589476,5567,4779,-511.352144105244,-0.0918541663562501
"26",13523.5927689341,14229,12460,-705.407231065947,-0.0495753201957936
"27",14355.0279554219,14551,13014,-195.972044578057,-0.0134679434113158
"28",909.827683615906,848,792,61.8276836159064,0.0729100042640405
"29",6221.51773578914,6494,6908,-272.482264210864,-0.0419590797984083
"30",1398.10356621905,1440,1566,-41.8964337809514,-0.0290947456812162
"31",532799.614263753,538053,518988,-5253.38573624718,-0.00976369565125959
"32",1399.48937302642,1350,1590,49.4893730264246,0.0366587948343886
"33",7020.91938364374,7131,7444,-110.080616356265,-0.0154369115630718
"34",7733.76025375975,8199,7841,-465.23974624025,-0.0567434743554396
"35",50131.0966117067,49754,42753,377.096611706707,0.00757922200640566
"36",293419.608159550,291472,245968,1947.60815955041,0.00668197342986773
"37",16715.1919183594,15727,14895,988.19191835944,0.0628341017587232
"38",5039.92206818272,4516,5107,523.922068182717,0.116014629801310
"39",18626.4489560601,19049,18667,-422.551043939911,-0.0221823215885302
"40",146790.625272589,143622,114355,3168.62527258933,0.0220622555916874
"41",847.867454409656,936,836,-88.1325455903439,-0.0941587025537862
"42",14097.9349848086,13970,12871,127.934984808631,0.00915783713733939
"43",24443.2714587531,25238,23414,-794.728541246874,-0.0314893629149249
"44",40454.2246489588,41515,33027,-1060.7753510412,-0.0255516163083512
"45",27323.0796820538,27741,26767,-417.920317946227,-0.0150650776088183
"46",17644.3027752166,18369,19675,-724.697224783406,-0.0394521870969245
"47",4407.6268685912,4693,3757,-285.3731314088,-0.060808253017004
"48",15128.4327018209,16674,14659,-1545.56729817912,-0.092693252859489
"49",4289.72486968027,4450,4363,-160.275130319734,-0.0360168832179177
"50",18353.0842419298,17161,15436,1192.08424192976,0.0694647306060114
"51",12689.8867017780,12880,14153,-190.113298221981,-0.014760349240837
"52",153142.336736037,154220,137719,-1077.66326396307,-0.00698783078694767
"53",6593.03390289292,6497,5737,96.0339028929166,0.0147812687229362
"54",11984.6394286375,12322,12178,-337.360571362518,-0.0273787186627592
"55",22826.8135855862,23778,19866,-951.186414413762,-0.0400027931034470
"56",5974.33287219832,7031,5947,-1056.66712780168,-0.150286890599016
"57",553.531643095587,555,556,-1.4683569044131,-0.00264568811605964
"58",7552.99169739917,7670,6598,-117.008302600832,-0.0152553197654280
"59",4122.83863265266,2425,2687,1697.83863265266,0.700139642330993
"60",28333.4965175544,28298,24782,35.4965175543657,0.00125438255545854
"61",21311.2166332350,22571,20948,-1259.78336676495,-0.0558142468993377
"62",4773.42598269312,4383,4897,390.425982693118,0.0890773403360982
"63",241315.337192568,250439,178099,-9123.66280743203,-0.0364306789574788
"64",10988.7420088648,9897,9680,1091.74200886477,0.110310397985730
